Running 1m test @ http://nginx-thrift:8080/wrk2-api/post/compose
  10 threads and 30 connections
  Thread calibration: mean lat.: 43.749ms, rate sampling interval: 286ms
  Thread calibration: mean lat.: 42.454ms, rate sampling interval: 282ms
  Thread calibration: mean lat.: 34.745ms, rate sampling interval: 247ms
  Thread calibration: mean lat.: 40.559ms, rate sampling interval: 266ms
  Thread calibration: mean lat.: 43.732ms, rate sampling interval: 260ms
  Thread calibration: mean lat.: 38.874ms, rate sampling interval: 257ms
  Thread calibration: mean lat.: 45.119ms, rate sampling interval: 293ms
  Thread calibration: mean lat.: 37.390ms, rate sampling interval: 249ms
  Thread calibration: mean lat.: 39.191ms, rate sampling interval: 250ms
  Thread calibration: mean lat.: 35.481ms, rate sampling interval: 250ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    35.30ms   63.68ms 296.45ms   86.39%
    Req/Sec   149.81     40.52   265.00     73.97%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    6.97ms
 75.000%   24.37ms
 90.000%  127.23ms
 99.000%  296.45ms
 99.900%  492.29ms
 99.990%  552.45ms
 99.999%  577.53ms
100.000%  588.29ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.701     0.000000            1         1.00
       4.093     0.100000         7516         1.11
       4.627     0.200000        15049         1.25
       5.191     0.300000        22540         1.43
       5.903     0.400000        30063         1.67
       6.967     0.500000        37547         2.00
       7.771     0.550000        41296         2.22
       8.871     0.600000        45044         2.50
      10.703     0.650000        48795         2.86
      14.167     0.700000        52543         3.33
      24.367     0.750000        56296         4.00
      34.111     0.775000        58174         4.44
      48.927     0.800000        60046         5.00
      68.863     0.825000        61922         5.71
      88.639     0.850000        63798         6.67
     108.223     0.875000        65678         8.00
     118.143     0.887500        66614         8.89
     127.231     0.900000        67552        10.00
     136.063     0.912500        68491        11.43
     145.151     0.925000        69433        13.33
     154.879     0.937500        70369        16.00
     159.999     0.943750        70842        17.78
     165.247     0.950000        71313        20.00
     172.031     0.956250        71774        22.86
     180.735     0.962500        72242        26.67
     193.407     0.968750        72711        32.00
     200.959     0.971875        72947        35.56
     211.711     0.975000        73185        40.00
     224.639     0.978125        73415        45.71
     242.431     0.981250        73651        53.33
     260.991     0.984375        73885        64.00
     268.287     0.985938        74001        71.11
     277.503     0.987500        74119        80.00
     289.535     0.989062        74237        91.43
     302.591     0.990625        74354       106.67
     320.255     0.992188        74471       128.00
     331.007     0.992969        74531       142.22
     343.039     0.993750        74587       160.00
     354.559     0.994531        74646       182.86
     370.175     0.995313        74705       213.33
     387.583     0.996094        74764       256.00
     397.055     0.996484        74793       284.44
     407.295     0.996875        74822       320.00
     414.719     0.997266        74851       365.71
     427.519     0.997656        74882       426.67
     442.111     0.998047        74910       512.00
     448.767     0.998242        74925       568.89
     457.727     0.998437        74939       640.00
     468.735     0.998633        74954       731.43
     482.303     0.998828        74969       853.33
     494.079     0.999023        74985      1024.00
     499.711     0.999121        74991      1137.78
     505.087     0.999219        74999      1280.00
     508.671     0.999316        75005      1462.86
     513.279     0.999414        75014      1706.67
     517.119     0.999512        75021      2048.00
     520.191     0.999561        75025      2275.56
     520.703     0.999609        75027      2560.00
     528.383     0.999658        75031      2925.71
     532.479     0.999707        75035      3413.33
     537.087     0.999756        75038      4096.00
     538.623     0.999780        75040      4551.11
     547.327     0.999805        75043      5120.00
     547.839     0.999829        75044      5851.43
     549.887     0.999854        75046      6826.67
     551.423     0.999878        75047      8192.00
     552.447     0.999890        75048      9102.22
     557.055     0.999902        75049     10240.00
     558.079     0.999915        75050     11702.86
     562.687     0.999927        75051     13653.33
     565.759     0.999939        75053     16384.00
     565.759     0.999945        75053     18204.44
     565.759     0.999951        75053     20480.00
     565.759     0.999957        75053     23405.71
     575.487     0.999963        75054     27306.67
     575.487     0.999969        75054     32768.00
     575.487     0.999973        75054     36408.89
     577.535     0.999976        75055     40960.00
     577.535     0.999979        75055     46811.43
     577.535     0.999982        75055     54613.33
     577.535     0.999985        75055     65536.00
     577.535     0.999986        75055     72817.78
     588.287     0.999988        75056     81920.00
     588.287     1.000000        75056          inf
#[Mean    =       35.301, StdDeviation   =       63.684]
#[Max     =      587.776, Total count    =        75056]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  90028 requests in 1.00m, 18.46MB read
Requests/sec:   1500.45
Transfer/sec:    315.03KB
